Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	mitotic spindle organization (GO:0007052)	11/157	7.721420e-19	2.625283e-16	0	0	1.660381e+02	6.924637e+03	CDC20;CENPF;CCNB1;CHEK2;PLK1;BIRC5;KIF2C;KIF11;CENPA;AURKB;AURKA
GO_Biological_Process_2021	microtubule cytoskeleton organization involved in mitosis (GO:1902850)	10/128	1.409579e-17	2.396285e-15	0	0	1.683220e+02	6.531005e+03	CDC20;CENPF;CCNB1;PLK1;BIRC5;KIF2C;KIF11;CENPA;AURKB;AURKA
GO_Biological_Process_2021	anaphase-promoting complex-dependent catabolic process (GO:0031145)	7/84	1.324083e-12	1.500628e-10	0	0	1.391818e+02	3.806665e+03	CDC20;CCNB1;UBE2C;PLK1;CDK1;AURKB;AURKA
GO_Biological_Process_2021	regulation of cell cycle process (GO:0010564)	7/106	7.035557e-12	5.980223e-10	0	0	1.081329e+02	2.776857e+03	PLK1;CHEK1;KIF11;KIF20A;MKI67;AURKB;AURKA
GO_Biological_Process_2021	mitotic nuclear membrane disassembly (GO:0007077)	4/12	3.579296e-10	2.296335e-08	0	0	6.241250e+02	1.357515e+04	CCNB2;CCNB1;PLK1;CDK1
GO_Biological_Process_2021	regulation of mitotic cell cycle phase transition (GO:1901990)	7/188	4.052355e-10	2.296335e-08	0	0	5.890055e+01	1.273816e+03	CDC20;CENPF;CCNB1;UBE2C;PLK1;CDK1;AURKA
GO_Biological_Process_2021	nuclear membrane disassembly (GO:0051081)	4/14	7.228970e-10	3.511214e-08	0	0	4.992500e+02	1.050809e+04	CCNB2;CCNB1;PLK1;CDK1
GO_Biological_Process_2021	mitotic cell cycle phase transition (GO:0044772)	7/209	8.499457e-10	3.612269e-08	0	0	5.272125e+01	1.101128e+03	CCNB2;CCNB1;UBE2C;CHEK2;PLK1;CDK1;AURKA
GO_Biological_Process_2021	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	5/56	2.151752e-09	7.817499e-08	0	0	1.302549e+02	2.599495e+03	CCNB1;PCNA;CHEK2;CDK1;AURKA
GO_Biological_Process_2021	G2/M transition of mitotic cell cycle (GO:0000086)	6/130	2.414803e-09	7.817499e-08	0	0	6.862673e+01	1.361667e+03	CCNB2;CCNB1;CHEK2;PLK1;CDK1;AURKA
GO_Biological_Process_2021	cell cycle G2/M phase transition (GO:0044839)	6/131	2.529191e-09	7.817499e-08	0	0	6.807429e+01	1.347555e+03	CCNB2;CCNB1;CHEK2;PLK1;CDK1;AURKA
GO_Biological_Process_2021	mitotic G1 DNA damage checkpoint signaling (GO:0031571)	5/65	4.626819e-09	1.310932e-07	0	0	1.106667e+02	2.123848e+03	CCNB1;PCNA;CHEK2;CDK1;AURKA
GO_Biological_Process_2021	DNA damage response, signal transduction by p53 class mediator (GO:0030330)	5/74	8.972790e-09	2.346730e-07	0	0	9.618841e+01	1.782282e+03	CCNB1;PCNA;CHEK2;CDK1;AURKA
GO_Biological_Process_2021	regulation of mitotic cell cycle (GO:0007346)	6/178	1.596010e-08	3.774587e-07	0	0	4.935548e+01	8.860876e+02	CDC20;CCNB1;UBE2C;PLK1;CDK1;MKI67
GO_Biological_Process_2021	proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	7/321	1.665259e-08	3.774587e-07	0	0	3.372415e+01	6.040232e+02	CDC20;CCNB1;UBE2C;PLK1;CDK1;AURKB;AURKA
GO_Biological_Process_2021	regulation of cell cycle phase transition (GO:1901987)	5/95	3.185242e-08	6.768639e-07	0	0	7.366667e+01	1.271645e+03	CDC20;CCNB1;UBE2C;PLK1;CDK1
GO_Biological_Process_2021	phosphorylation (GO:0016310)	7/400	7.521191e-08	1.504238e-06	0	0	2.683676e+01	4.402022e+02	CHEK2;PLK1;CHEK1;CDK1;BIRC5;AURKB;AURKA
GO_Biological_Process_2021	chromosome condensation (GO:0030261)	4/45	1.054941e-07	1.992666e-06	0	0	1.215793e+02	1.953124e+03	TOP2A;CCNB1;PLK1;CDK1
GO_Biological_Process_2021	positive regulation of ubiquitin protein ligase activity (GO:1904668)	3/12	1.870300e-07	3.346852e-06	0	0	3.915882e+02	6.066484e+03	CDC20;UBE2C;PLK1
GO_Biological_Process_2021	regulation of mitotic nuclear division (GO:0007088)	4/57	2.775436e-07	4.606817e-06	0	0	9.399528e+01	1.419074e+03	CCNB1;CHEK1;MKI67;AURKA
