Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Cell Cycle R-HSA-1640170	18/654	2.595131e-25	5.112408e-23	0	0	2.737358e+02	1.549646e+04	TOP2A;PCNA;UBE2C;PLK1;TYMS;CENPA;AURKB;AURKA;CDC20;CCNB2;CENPF;CCNB1;CHEK2;CHEK1;CDK1;BIRC5;KIF2C;KIF20A
Reactome_2022	Cell Cycle, Mitotic R-HSA-69278	16/523	1.676095e-22	1.650954e-20	0	0	1.536331e+02	7.703228e+03	TOP2A;PCNA;UBE2C;PLK1;TYMS;CENPA;AURKB;AURKA;CDC20;CCNB2;CENPF;CCNB1;CDK1;BIRC5;KIF2C;KIF20A
Reactome_2022	Cell Cycle Checkpoints R-HSA-69620	13/271	2.768681e-20	1.818101e-18	0	0	1.419635e+02	6.393087e+03	UBE2C;PLK1;CENPA;AURKB;CDC20;CCNB2;CENPF;CCNB1;CHEK2;CHEK1;CDK1;BIRC5;KIF2C
Reactome_2022	Resolution Of Sister Chromatid Cohesion R-HSA-2500257	10/106	1.999166e-18	9.845894e-17	0	0	2.071250e+02	8.441131e+03	CDC20;CCNB2;CENPF;CCNB1;PLK1;CDK1;BIRC5;KIF2C;CENPA;AURKB
Reactome_2022	Mitotic Anaphase R-HSA-68882	11/232	6.177188e-17	2.127789e-15	0	0	1.092755e+02	4.078499e+03	CDC20;CCNB2;CENPF;CCNB1;UBE2C;PLK1;CDK1;BIRC5;KIF2C;CENPA;AURKB
Reactome_2022	Mitotic Metaphase And Anaphase R-HSA-2555396	11/233	6.480574e-17	2.127789e-15	0	0	1.087778e+02	4.054707e+03	CDC20;CCNB2;CENPF;CCNB1;UBE2C;PLK1;CDK1;BIRC5;KIF2C;CENPA;AURKB
Reactome_2022	M Phase R-HSA-68886	12/380	2.045165e-16	5.755678e-15	0	0	7.994022e+01	2.887911e+03	CDC20;CCNB2;CENPF;CCNB1;UBE2C;PLK1;CDK1;BIRC5;KIF2C;KIF20A;CENPA;AURKB
Reactome_2022	Mitotic Prometaphase R-HSA-68877	10/186	6.461701e-16	1.591194e-14	0	0	1.125227e+02	3.935535e+03	CDC20;CCNB2;CENPF;CCNB1;PLK1;CDK1;BIRC5;KIF2C;CENPA;AURKB
Reactome_2022	Mitotic Spindle Checkpoint R-HSA-69618	8/110	7.704618e-14	1.686455e-12	0	0	1.299216e+02	3.922900e+03	CDC20;CENPF;UBE2C;PLK1;BIRC5;KIF2C;CENPA;AURKB
Reactome_2022	APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143	7/87	1.705295e-12	3.359431e-11	0	0	1.339423e+02	3.629473e+03	CDC20;CCNB1;UBE2C;PLK1;CDK1;AURKB;AURKA
Reactome_2022	Separation Of Sister Chromatids R-HSA-2467813	8/170	2.665680e-12	4.523309e-11	0	0	8.155556e+01	2.173501e+03	CDC20;CENPF;UBE2C;PLK1;BIRC5;KIF2C;CENPA;AURKB
Reactome_2022	Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444	7/93	2.755315e-12	4.523309e-11	0	0	1.245599e+02	3.315473e+03	CDC20;CENPF;PLK1;BIRC5;KIF2C;CENPA;AURKB
Reactome_2022	EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025	7/97	3.727716e-12	5.648924e-11	0	0	1.190000e+02	3.131512e+03	CDC20;CENPF;PLK1;BIRC5;KIF2C;CENPA;AURKB
Reactome_2022	Phosphorylation Of Emi1 R-HSA-176417	4/6	1.088726e-11	1.531992e-10	0	0	2.497250e+03	6.303915e+04	CDC20;CCNB1;PLK1;CDK1
Reactome_2022	RHO GTPases Activate Formins R-HSA-5663220	7/119	1.605272e-11	2.108257e-10	0	0	9.551923e+01	2.374144e+03	CDC20;CENPF;PLK1;BIRC5;KIF2C;CENPA;AURKB
Reactome_2022	Activation Of NIMA Kinases NEK9, NEK6, NEK7 R-HSA-2980767	4/7	2.538784e-11	3.125878e-10	0	0	1.664750e+03	4.061449e+04	CCNB2;CCNB1;PLK1;CDK1
Reactome_2022	Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035	4/13	5.166823e-10	5.987436e-09	0	0	5.547500e+02	1.186255e+04	CCNB1;CHEK2;CHEK1;CDK1
